Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.96875,43.96875,43.75,43.9375,24.941394805908203,1003200
1993-02-01,43.96875,44.25,43.96875,44.25,25.118789672851562,480500
1993-02-02,44.21875,44.375,44.125,44.34375,25.17201805114746,201300
1993-02-03,44.40625,44.84375,44.375,44.8125,25.438093185424805,529400
1993-02-04,44.96875,45.09375,44.46875,45.0,25.544527053833008,531500
1993-02-05,44.96875,45.0625,44.71875,44.96875,25.526792526245117,492100
1993-02-08,44.96875,45.125,44.90625,44.96875,25.526792526245117,596100
1993-02-09,44.8125,44.8125,44.5625,44.65625,25.349395751953125,122100
1993-02-10,44.65625,44.75,44.53125,44.71875,25.38487434387207,379600
1993-02-11,44.78125,45.125,44.78125,44.9375,25.509042739868164,19500
1993-02-12,44.875,44.875,44.59375,44.59375,25.31392478942871,42500
1993-02-16,44.46875,44.46875,43.40625,43.46875,24.675310134887695,374800
1993-02-17,43.46875,43.53125,43.28125,43.4375,24.657567977905273,210900
1993-02-18,43.9375,43.9375,42.8125,43.40625,24.63982582092285,378100
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.728525161743164,34900
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.817214965820312,513600
1993-02-23,43.84375,43.875,43.46875,43.6875,24.799482345581055,373700
1993-02-24,43.71875,44.25,43.71875,44.25,25.118789672851562,26300
1993-02-25,44.21875,44.375,44.125,44.34375,25.17201805114746,44500
1993-02-26,44.4375,44.4375,44.1875,44.40625,25.207487106323242,66200
1993-03-01,44.5625,44.5625,44.21875,44.28125,25.136524200439453,66500
1993-03-02,44.3125,44.9375,44.25,44.9375,25.509042739868164,182400
1993-03-03,45.0,45.15625,44.9375,45.125,25.615489959716797,280100
1993-03-04,45.1875,45.1875,44.875,44.875,25.47356605529785,89500
1993-03-05,44.9375,45.125,44.71875,44.75,25.40260887145996,40000
1993-03-08,44.84375,45.75,44.84375,45.75,25.97027587890625,50800
1993-03-09,45.65625,45.6875,45.5,45.59375,25.881580352783203,169300
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.934795379638672,194400
1993-03-11,45.71875,45.84375,45.5,45.5625,25.86383628845215,70900
1993-03-12,45.1875,45.21875,44.8125,45.09375,25.59775161743164,643600
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.72191047668457,310800
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.72191047668457,30800
1993-03-17,45.25,45.25,44.96875,45.03125,25.56226921081543,21800
1993-03-18,45.21875,45.5,45.21875,45.3125,25.72191047668457,59300
1993-03-19,45.28125,45.28125,45.03125,45.03125,25.6829891204834,66900
1993-03-22,44.59375,44.875,44.5625,44.78125,25.540414810180664,183400
1993-03-23,44.90625,44.9375,44.8125,44.875,25.593870162963867,55200
1993-03-24,44.8125,45.0625,44.59375,44.875,25.593870162963867,37200
1993-03-25,44.90625,45.25,44.84375,45.15625,25.754287719726562,110100
1993-03-26,45.125,45.15625,44.875,44.90625,25.611709594726562,101500
1993-03-29,44.9375,45.3125,44.9375,45.09375,25.718647003173828,87100
1993-03-30,45.15625,45.21875,45.09375,45.21875,25.789928436279297,56000
1993-03-31,45.34375,45.46875,45.1875,45.1875,25.772098541259766,111600
1993-04-01,45.25,45.25,44.9375,45.03125,25.6829891204834,129500
1993-04-02,44.65625,44.65625,44.09375,44.09375,25.148286819458008,59400
1993-04-05,44.4375,44.4375,44.1875,44.3125,25.27305793762207,172200
1993-04-06,44.40625,44.40625,44.0625,44.1875,25.2017822265625,129700
1993-04-07,44.25,44.34375,44.15625,44.34375,25.290897369384766,28000
1993-04-08,44.53125,44.53125,44.09375,44.28125,25.2552433013916,180800
1993-04-12,44.71875,44.9375,44.65625,44.90625,25.611709594726562,348500
1993-04-13,44.875,45.15625,44.84375,45.0,25.665172576904297,146100
1993-04-14,45.03125,45.0625,44.90625,44.9375,25.629526138305664,119600
1993-04-15,44.90625,45.03125,44.75,44.9375,25.629526138305664,148600
1993-04-16,44.96875,45.03125,44.875,44.9375,25.629526138305664,47900
1993-04-19,44.9375,45.0625,44.71875,44.75,25.522584915161133,157000
1993-04-20,44.6875,44.75,44.25,44.53125,25.397811889648438,279500
1993-04-21,44.625,44.625,44.375,44.5,25.38001251220703,67900
1993-04-22,44.3125,44.6875,43.9375,43.9375,25.059188842773438,97700
1993-04-23,43.84375,43.96875,43.6875,43.75,24.952245712280273,106000
1993-04-26,43.78125,43.9375,43.28125,43.40625,24.756196975708008,62600
1993-04-27,43.34375,43.875,43.34375,43.875,25.02354621887207,156800
1993-04-28,43.8125,43.90625,43.71875,43.78125,24.970067977905273,85900
1993-04-29,43.875,43.96875,43.625,43.96875,25.077009201049805,85000
1993-04-30,44.125,44.28125,44.03125,44.03125,25.112659454345703,88500
1993-05-03,44.09375,44.3125,43.90625,44.3125,25.27305793762207,80500
1993-05-04,44.40625,44.625,44.34375,44.46875,25.362184524536133,149100
1993-05-05,44.46875,44.75,44.46875,44.59375,25.43348503112793,109000
1993-05-06,44.53125,44.5625,44.40625,44.4375,25.344364166259766,54700
1993-05-07,44.46875,44.46875,44.28125,44.34375,25.290897369384766,68000
1993-05-10,44.40625,44.6875,44.40625,44.4375,25.344364166259766,113900
1993-05-11,44.4375,44.625,44.3125,44.625,25.451274871826172,42600
1993-05-12,44.4375,44.59375,44.4375,44.5625,25.4156551361084,31000
